epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,274.822,1.132,0.73502,1.16079,0.8654,0.84472,0.86705,0.50706,1.36279,0.72178,1.27348,0.000466997,0.000466997,0.000466997
70,277.741,1.12871,0.73403,1.15855,0.83915,0.86542,0.86678,0.50538,1.36292,0.71443,1.27323,0.00045285,0.00045285,0.00045285
71,280.569,1.12755,0.71388,1.15132,0.84233,0.85903,0.86789,0.50877,1.36229,0.73211,1.27074,0.000438703,0.000438703,0.000438703
72,283.324,1.1212,0.71876,1.14775,0.84379,0.845,0.86167,0.5052,1.36191,0.72636,1.27692,0.000424556,0.000424556,0.000424556
73,286.114,1.11381,0.7115,1.15221,0.83753,0.85186,0.85751,0.49924,1.38212,0.72182,1.28741,0.000410409,0.000410409,0.000410409
74,288.877,1.10805,0.70226,1.14482,0.81382,0.85294,0.85716,0.49264,1.38104,0.71515,1.28238,0.000396262,0.000396262,0.000396262
75,291.682,1.11867,0.71643,1.15399,0.83839,0.85682,0.864,0.50364,1.36147,0.72599,1.27825,0.000382115,0.000382115,0.000382115
76,294.451,1.11597,0.70331,1.15303,0.83036,0.87332,0.87161,0.51078,1.35021,0.72997,1.26837,0.000367967,0.000367967,0.000367967
77,297.299,1.10111,0.7101,1.14786,0.83486,0.82436,0.85852,0.49643,1.36997,0.72046,1.28551,0.00035382,0.00035382,0.00035382
78,300.054,1.10449,0.69395,1.14799,0.83523,0.84921,0.86653,0.50451,1.36057,0.71571,1.27819,0.000339673,0.000339673,0.000339673
79,302.803,1.09655,0.69817,1.14166,0.85075,0.86087,0.88108,0.50492,1.36142,0.70642,1.27134,0.000325526,0.000325526,0.000325526
80,305.59,1.09975,0.69654,1.14424,0.85054,0.87047,0.87965,0.50917,1.36068,0.70697,1.27005,0.000311379,0.000311379,0.000311379
81,308.384,1.09636,0.69936,1.14478,0.84905,0.84501,0.87607,0.50881,1.35666,0.70367,1.2731,0.000297232,0.000297232,0.000297232
82,311.116,1.08577,0.6941,1.14581,0.83056,0.8466,0.87254,0.49858,1.35966,0.7045,1.27362,0.000283085,0.000283085,0.000283085
83,313.903,1.08894,0.70225,1.14537,0.83542,0.83629,0.87022,0.50647,1.36015,0.70522,1.27397,0.000268938,0.000268938,0.000268938
84,316.787,1.08999,0.68983,1.14112,0.83057,0.81921,0.86965,0.50224,1.3681,0.70714,1.28355,0.000254791,0.000254791,0.000254791
85,319.615,1.09371,0.68768,1.14404,0.83352,0.86033,0.88058,0.50459,1.37017,0.70949,1.27736,0.000240644,0.000240644,0.000240644
